Name,Ingredients,Instructions,vegan,gluten-free,vegetarian,fruit
Kohlrabi curry (for 4 servings),"['4 Kohlrabi', '1 Mangold', '2 Onions', '4 Tomatoes', '1 piece of Ginger (about 2 cm)', '4 tbsp Rapeseed Oil', '1 - 2 tbsp Curry Powder', '150 ml Vegetable Broth', '150 g Natural Yogurt', 'Salt']","['Peel and dice kohlrabi. Wash chard leaves. Cut the stems into small pieces, and the leaves into fine strips. Peel and finely chop onions.', 'Wash tomatoes, remove stems, and quarter. Remove the seeds and cut the flesh into fine strips.', 'Peel and grate ginger.', 'Heat rapeseed oil in a deep pan. Sauté onions, kohlrabi, and pieces of chard stems for about 2 minutes. Season with fresh ginger, salt, and curry.', 'Fill with broth, add tomato strips and chard leaves, and let simmer for about 5 minutes with the lid closed. Stir in yogurt and adjust seasoning.']",False,True,True,False
Pea fritters with radish cream (for 4 servings),"['12 floury potatoes', '300 g cooked peas (or frozen peas)', '1 egg', 'Salt, black pepper, nutmeg', 'Rapeseed oil for frying', '2 bunches of radishes with green', '500 g quark (20%)', '150 g plain yogurt', 'Salt, pepper, chili']","['Peel potatoes. Finely grate 6 potatoes, coarsely grate 6 potatoes.', 'Crush (or puree) 2/3 of the peas with a fork.', 'Mix pea mixture, grated potatoes, and egg. Season generously with salt, pepper, and nutmeg. Fold in the remaining peas.', 'Heat plenty of oil in a pan. Flatten a heaping tablespoon of the batter in the pan and cook on both sides over moderate heat until golden brown, about 4 minutes.', 'Meanwhile, remove greens from radishes, saving the prettiest leaves. Wash and drain leaves and radishes.', 'Slice radishes thinly and cut the reserved leaves into narrow strips.', 'Mix quark and yogurt into a smooth mixture. Fold in radishes and leaf strips. Season generously with salt, pepper, and chili.', 'Serve pea fritters with radish cream.']",False,True,True,True
Parsnip Radish Soup (for 4 servings),"['1 onion', '500 g parsnips', '2 tbsp rapeseed or sunflower oil', '750 ml vegetable broth', '250 g radish', '1 small apple', '100 ml whipped cream', '150 ml milk', '2 tsp horseradish', 'Salt, pepper, nutmeg', '3 thick slices of whole grain wheat bread', '4 sprigs of thyme', '2 tbsp olive oil']","['Peel and dice onions and parsnips.', 'Sauté in hot oil, add broth and let simmer for about 20 minutes with the lid closed.', 'Grate radish finely, peel and grate the apple. Add both to the soup, bring to a boil once, then puree.', 'Add cream, milk and horseradish. Season with salt, pepper and nutmeg.', 'Cut bread into uniform cubes. Pluck thyme leaves from the stems.', 'Brown bread cubes in olive oil until crispy. Season with thyme leaves, salt and pepper.', 'Sprinkle the soup with the crispy bread cubes before serving.']",False,False,True,False
Cabbage soup (for 4 servings),"['1 pointed cabbage', '2 onions', '2 stalks of celery', '2 carrots', '1.5 liters of vegetable broth', '50g rice', '1 tsp Herbes de Provence', '1 bay leaf', '1 tsp curry', '1 bunch of basil', 'salt, pepper, Sambal Oelek']","Remove the outer leaves and core of the pointed cabbage. Cut into fine strips and boil vigorously in salted water for about 5 minutes. Rinse with cold water and let drain. Peel and chop the onions. Wash, peel, and slice the celery and carrots. Bring the vegetable broth to a boil. Add rice, onions, carrots, celery, herbs, and bay leaf, and cook over low heat for about 30 minutes. Remove the bay leaf from the soup. Scoop out 2 cups of the vegetable rice mixture and set aside. Puree the remaining soup and season with salt, pepper, curry, and spicy sambal oelek. Add the pointed cabbage strips and vegetable rice to the soup, sprinkle with finely shredded basil leaves, and let simmer for another 3 minutes.",True,True,True,True
Teltow turnips with honey glaze (for 4 servings),"['800 g Teltower turnips', '4 large carrots', '100 g bacon', '50 g walnuts', '50 ml vegetable broth', 'Salt, pepper, nutmeg', '2 tbsp honey', 'Juice of 1 lemon']","""Wash and peel turnips and carrots, then cut them into 1 cm wide, uniform strips. Bring salted water to a boil and cook the vegetable strips in it for about 3 minutes. Shock in cold water, then drain. Cut bacon into small cubes, chop walnuts. Render the bacon in a pot. Toss turnip and carrot strips in the rendered fat, then add the vegetable broth. Season with salt, pepper, and freshly grated nutmeg. Continue to cook the vegetables briefly with the lid open until the liquid has evaporated. Mix honey and lemon juice with the chopped walnuts, and pour over the vegetables. Toss to coat all the pieces, and serve the glazed vegetables hot immediately.""",False,True,True,False
Fried plum gnocchi with salad (serves 4),"['800 g floury potatoes', '75 g dried prunes (pitted)', 'fresh sage', '80 g Parmesan cheese', '200 g flour', '2 eggs', '6 tbsp soft butter', 'salt, chili', '1 small napa cabbage', '2 tbsp rapeseed oil', 'juice of 2 oranges', 'a pinch of salt', '2 tbsp brown sugar']","['Cook potatoes until they are soft, then rinse with cold water, peel, and press through a potato ricer (or mash evenly with a masher). Let cool.', 'Finely chop prunes. Cut sage leaves into small pieces. Grate Parmesan cheese.', 'Knead potato mixture with flour, 2 tbsp butter, salt, and chili. Mix in the chopped prunes. The dough should not be sticky and should be easily formable. Adjust the consistency with a little water or flour.', 'Remove outer leaves and core from the Chinese cabbage. Cut into fine strips.', 'Mix orange juice with oil, salt, and brown sugar to make a marinade.', 'Combine marinade with Chinese cabbage and let it marinate.', 'Bring salted water to a boil in a large pot. Shape the gnocchi dough into finger-thick rolls and cut into pieces about 3 cm long. Press grooves into them with a fork.', 'Add the gnocchi to the simmering water. Once they float to the surface, skim them out and keep them warm.', 'Melt the remaining butter in a large pan and fry the sage leaves in it. Add the gnocchi and Parmesan, and toss together.', 'Serve the gnocchi with the salad.']",False,True,True,False
Almond slices (for 4 servings),"['75 g whole wheat flour', '75 g white flour', '1 tsp baking powder', '50 g powdered sugar', '1 pinch of salt', '1 egg', '120 g butter', '50 g honey', '½ tsp cinnamon', '½ tsp ground coriander', '1 packet vanilla sugar', '100 g sliced almonds', '100 g dark chocolate couverture']","['Thoroughly mix flour, baking powder, powdered sugar, and salt.', 'Add egg and 60 g butter in flakes and quickly knead everything into a smooth dough. Wrap in foil and refrigerate for at least one hour.', 'Preheat the oven. Roll out the dough thinly on baking paper with flour to form a rectangle and bake at moderate heat for about 15 minutes.', 'Heat honey, remaining butter, cinnamon, vanilla sugar, and coriander. Spread the mixture on the baked base and sprinkle densely with sliced almonds.', 'Bake the dough for another 10 minutes until golden brown. Cut while still warm into narrow rectangles and let cool.', 'Heat the chocolate glaze, dip almond slices on one side. Let the glaze set on a wire rack.']",False,False,True,True
Gratinated fennel (for 4 servings),"['750 g fennel bulbs', '6 potatoes', '250 ml vegetable broth', '500 g tomatoes', '250 g onions', '2 tbsp butter', 'salt, pepper, sugar', '150 g Gouda cheese', '100 ml cream']","['Cut the green parts from the fennel bulbs and set aside. Clean the bulbs, wash them, halve them, and remove the core. Slice the bulbs.', 'Peel the potatoes and dice them.', 'Bring vegetable broth to a boil, cook the fennel and potatoes in it for about 5 minutes, then drain them.', 'Place the tomatoes in boiling water for about 1 minute. Then, score the skin and peel it off.', 'Quarter three tomatoes, scrape out the seeds, and dice the quarters finely. Slice the remaining tomatoes.', 'Peel and finely dice the onions.', 'Heat butter in a pan, sauté the onions until translucent, add the tomato slices, cover with a lid, and let it simmer for about 10 minutes. Season with salt, pepper, and sugar.', 'Grate the cheese. Add cream to the tomatoes.', 'Place the tomato-onion mixture in a baking dish, arrange the fennel slices and potatoes on top, and sprinkle the cheese over it. Bake in the oven at high heat for about 30 minutes.', 'Finely chop the fennel greens. Mix them with the tomato cubes and sprinkle over the gratin before serving.']",False,True,True,True
Baked beetroot with herb cream (for 4 servings),"['4 large (or 8 smaller) beets', '1 bunch of chives', '½ bunch of flat-leaf parsley', '200 g sour cream', '250 g quark', '1 tsp horseradish', '1 tsp mustard', '2 tbsp olive oil', 'Salt, black pepper']","['Thoroughly wash red beets, let them drain well, wrap tightly in aluminum foil, and place in a baking dish.', 'Cook in the preheated oven at 200 degrees Celsius for about 50 minutes on the middle rack (slightly shorter for smaller beets).', 'Wash chives and parsley, let them drain well, and finely chop them.', 'Mix chopped herbs with all other ingredients to create a cream, and adjust seasoning to taste.', 'Arrange red beets on plates, slightly opening the foil, spoon herb cream on top, and sprinkle with sprouts or chopped herbs. Serve hot.']",False,True,True,False
Potato salad with fried onions (for 4 servings),"['12 waxy potatoes', '4 onions', '1 tbsp butter', '3 red apples', '1 small jar cornichons', '1 cup sour cream', '200 - 250 ml vegetable broth', '2 tsp frozen chives', '2 tsp frozen parsley', 'salt, mustard']","['Wash the potatoes and cook them until they are firm but tender as jacket potatoes. Drain, peel them, and let them cool.', 'Peel the onions and finely dice them. Melt butter in a pan, sauté the onions until translucent, and let them cool.', 'Cut the apples into small cubes. Slice the gherkins, and save the pickling juice.', 'Mix sour cream with broth and, according to taste, with gherkin liquid.', 'Add parsley, chives, diced onions, and apple cubes. Season with salt and mustard.', 'Slice the potatoes evenly.', 'Layer the potatoes and vegetable mixture in a bowl, making sure all potato slices are coated. Pour any leftover sour cream and broth mixture over everything.', 'Let it sit for a few hours.']",False,True,True,False
Baked salsify pancakes (for 4 servings),"['1 untreated orange', '1 kg salsify', '250 g mushrooms', '1 tsp butter', 'Salt, pepper', '4 eggs', '200 g buckwheat flour', '75 g wheat flour', '500 ml milk', 'Salt', 'Oil for frying', '4 tomatoes', '150 g Camembert cheese', '50 g hard cheese (e.g. Emmental)', '1 tsp thyme']","Grate orange peel, squeeze orange.
Peel black salsify (wearing kitchen gloves) and cut into even, about 2 cm long pieces. Clean mushrooms and slice.
Heat butter, stew black salsify with orange juice and a little water covered for about 10 minutes. Add mushrooms and stew for another 2 minutes. Season with salt and pepper.
Whisk eggs with flour, milk, and salt to a thin batter. Make thin pancakes from it in a pan with oil.
Dice tomatoes, slice soft cheese, grate hard cheese.
Mix tomatoes with black salsify and mushrooms, season with thyme.
Spread well-drained vegetables on the pancakes and top with soft cheese. Roll up and place in a greased baking dish.
Sprinkle with hard cheese and bake in the oven at 175 degrees for about 15 minutes.",False,False,True,False
Jerusalem Artichoke Soup (for 4 servings),"['500 g Jerusalem artichokes', '2 leeks', '50 g wild rice', '4 tbsp vegetable oil', '1 l vegetable broth', '1 clove', '1 bay leaf', '1 pinch of coriander', '125 ml cream', 'salt, black pepper', '2 stems of fresh coriander']","['Peel Jerusalem artichokes except for three tubers, wash and cut them into small pieces.', 'Clean and wash leek, cut into approximately 2 cm thick pieces.', 'Cook rice in plenty of salted water until done, then drain.', 'Heat 2 tbsp oil in a pot, sauté Jerusalem artichoke and leek pieces in it.', 'Pour in vegetable broth, add clove and bay leaf, and let everything simmer for 10 minutes over medium heat.', 'Remove bay leaf and clove. Add coriander.', 'Pour in cream and purée everything. Season with salt and pepper.', 'Add rice to the soup.', 'Peel the remaining Jerusalem artichokes and slice them very thinly. Heat 2 tbsp oil in a pan, fry vegetable slices until crispy.', 'Serve the soup in preheated bowls, garnished with the Jerusalem artichoke slices and fresh coriander leaves.']",False,True,True,True
Lamb's lettuce with parsley root and nut patties (for 4 portions),"['300 g parsley root', '1 lemon', '500 ml vegetable broth', '1/2 bunch of parsley', '2 tbsp olive oil', '2 tsp apple syrup', 'salt, black pepper', '200 g lamb's lettuce', '2 red apples (e.g. Elstar)', '1 large onion', 'olive oil', '200 g ground walnuts', '50 g breadcrumbs', '2 tbsp tomato paste', '1 egg', 'oregano, pepper, salt', 'olive oil for frying']","['Clean and wash parsley root. Squeeze lemon.', 'Bring broth to a boil with lemon juice and cook parsley root in it for about 3 minutes, then remove, drain.', 'Mix 4 tbsp of the broth with olive oil, finely chopped parsley, apple syrup, salt and pepper and set aside.', 'Peel and finely chop onion.', 'Fry onion cubes in oil and mix with walnut and breadcrumb mixture.', 'Stir in tomato paste and egg and season with spices and salt.', 'Shape small, flat patties with moist hands and fry in hot oil in a pan on both sides.', 'Peel parsley root and cut into strips.', 'Serve with the hot nut patties.']",False,True,False,False
Chestnut risotto (for 4 portions),"['500 g chestnuts', '1 l vegetable broth', '100 ml white wine', '1 onion', '100 g bacon', '2 cloves of garlic', '6 tbsp butter', '350 g risotto rice', 'Salt, black pepper', '50 g Parmesan']","*Score the chestnuts with a cross. Roast the chestnuts in the oven for about 10 minutes, until the shell cracks. Remove the shell.
Cook the chestnuts in vegetable broth for about 30 minutes, skim off and keep warm.
Peel and finely chop the onion. Cut the bacon into small cubes. Finely chop the garlic and rosemary.
Heat 4 tbsp of butter in a large pot, fry the onion, bacon, and rosemary for about 5 minutes.
Add the rice and sauté until translucent while stirring slowly. Briefly sauté the garlic.
Mix vegetable broth with white wine.
Gradually add the liquid to the rice while stirring constantly, until the rice is cooked (about 20 minutes).
Remove the pot from the heat. Stir in the chestnuts, remaining butter, and grated Parmesan cheese. Season with salt and black pepper.
Serve immediately.*",False,True,True,True
Pumpkin Pasta (for 4 servings),"['300 g fresh spinach', '1 small pumpkin (e.g. Hokkaido)', '2 cloves of garlic', 'olive oil', 'salt, pepper', '2 cm fresh ginger, grated', '1 tsp turmeric', '100 ml cream', '400 g spaghetti']","['Clean and wash the spinach leaves, blanch them briefly in boiling water, then rinse with cold water and let drain well.', 'Halve the pumpkin, remove the seeds and skin if necessary, and cut the flesh into uniform cubes.', 'Peel and finely chop the garlic.', 'Heat oil in a pan and sauté the pumpkin cubes until they take on color. Set aside half of the sautéed pumpkin cubes.', 'Add the garlic to the remaining pumpkin in the pan and sauté for a few minutes.', 'Season with salt, pepper, ginger, and turmeric.', 'Add cream, puree the sauce, and return it to the pan.', 'Cook spaghetti until al dente, then drain well.', 'Add the remaining pumpkin cubes and spinach leaves to the sauce, adjust seasoning to taste.', 'Serve spaghetti with the pumpkin sauce.']",False,True,True,False
Herring fillets in cream sauce (for 4 servings),"['2 onions', '1 tbsp juniper berries', '250 ml white wine vinegar', '2 tbsp sugar', '2 bay leaves', '10 peppercorns', '10 allspice berries', '8 herring fillets', '1 bunch of dill', '½ bunch of parsley', '2 sour apples', '150 g cornichons', '300 g sour cream']","['Cut onions. Crush juniper berries in a mortar.', 'Heat vinegar with sugar, onions, crushed juniper berries, pepper, and allspice, and bring to a boil. Let the mixture cool.', 'Rinse the herring, soak if necessary, and then cut into uniform pieces, about 3 cm wide.', 'Pour the cooled vinegar mixture over the fish pieces, making sure they are all covered. Let marinate in the refrigerator for at least one night, but preferably a whole day.', 'Pluck and finely chop dill and parsley leaves. Wash apples and cut into small cubes, slice the cornichons thinly.', 'Remove herring pieces from the marinade. Reduce the marinade by half. Stir sour cream with some cooled and sieved marinade until smooth, creating a liquid but not too thin mixture.', 'Pour the sour cream mixture over the herring pieces. Mix in herbs, cucumber, and apple pieces.']",False,True,True,False
Colorful Bean Omelette (for 4 servings),"['400 g green beans', '200 g cherry tomatoes', '200 g feta cheese', '1 sprig of rosemary', '2 sprigs of savory', '8 eggs', '4 tbsp milk', '2 tbsp cream', 'salt, pepper', 'oil for baking']","['Wash beans and remove stems and fibers. Cook in salted water for about 10 minutes, then rinse with cold water and let drain well. Cut very long beans in the middle.', 'Halve tomatoes, crumble feta. Finely chop rosemary needles and bean herb leaves.', 'Whisk eggs with milk, cream, and herbs, season with salt and pepper.', 'Heat oil in a pan. Pour a quarter of the egg mixture into it and cook for about 1 minute over medium heat.', 'Distribute beans, tomatoes, and feta proportionally on the egg and let set with the lid closed in the pan.', 'Remove first omelette from the pan, fold it and keep warm. Repeat the process for the others.']",False,True,True,False
Brussels sprouts with dumplings (for 4 servings),"['200 g quark', '100 g butter', '2 eggs', '160 g breadcrumbs', 'salt, pepper, nutmeg', '500 g brussels sprouts', '2 onions', '100 g carrots', '150 g parsley root', 'vegetable oil', '300 ml vegetable broth', '100 ml heavy cream', 'salt, pepper', '2 sprigs each of parsley, dill, chives', '2 tbsp horseradish']","Spread a fresh kitchen towel in a sieve and let the quark drain on it. Beat the butter until frothy with a hand mixer. Separate 1 egg. Mix 2 tablespoons of breadcrumbs into the butter. Add one egg yolk and the second egg completely. Then fold in the remaining breadcrumbs and the quark into the mixture. Season with salt, pepper, and nutmeg. Set the dough aside.

Clean the Brussels sprouts, trim the stems, and make a cross-shaped incision. Peel the onions and cut them into fine cubes. Peel and finely dice the carrots and parsley root.

Heat vegetable oil in a pot, sauté onions, carrots, and parsley root in it for 2 minutes. Add Brussels sprouts, pour in vegetable broth and cream, season with salt and pepper, and cook covered for about 10 minutes.

Finely chop parsley and dill leaves, as well as chives. Shape small dumplings from the quark dough with moistened hands and place them in boiling salted water. Remove them after about 10 minutes and let them drain.

Heat vegetable oil in a pan and fry the dumplings until golden brown.

Arrange Brussels sprout vegetables and dumplings on deep plates.

Take some liquid from the Brussels sprout vegetables, mix it with horseradish and herbs to make a sauce, and pour it over the vegetables.",False,True,True,True
Walnut Crostini (for 4 servings),"['1 long baguette', '3 tbsp olive oil', '250 g tomatoes', '80 g walnuts', '1 garlic clove', '3 sprigs flat parsley', '3 sprigs basil', '1 tbsp tomato paste', 'salt, sugar, pepper']","['Cut baguette into slices about 1 cm thick. Heat olive oil in a pan and toast the bread slices on both sides.', 'Wash tomatoes and blanch them in boiling water for about 1 minute. Score the skin, peel, quarter, remove seeds, and dice the tomatoes.', 'Dry-toast walnuts in a pan without oil, then chop them.', 'Peel garlic and finely chop. Cut parsley and basil leaves into thin strips.', 'Mix tomato dices with 2/3 of the walnuts, herbs, tomato paste, and garlic. Season with salt, sugar, and pepper.', 'Spread the tomato mixture on the bread slices, sprinkle with the remaining walnuts, and serve.']",True,True,True,False
Leek pie (serves 4),"['175 g Curd cheese', '6 - 8 Potatoes', '1 tbsp Butter', 'Milk', '2 tbsp Mixed herbs (frozen)', '250 g Leeks', '1 tbsp Oil', '3 Eggs', '75 g Emmental cheese', 'Salt, Pepper, Nutmeg']","Drain the quark. Peel the potatoes, cook until tender, and let them drain. Add a tablespoon of butter to the potatoes and mash them with a potato masher or a hand mixer. Gradually add enough milk to create a creamy but firm mash.

Mix the mixed herbs into the mashed potatoes. Preheat the oven. Clean the leek, wash, and cut into rings. Sauté in hot oil for about 3 minutes.

Separate the eggs. Grate the Emmental cheese. Mix the egg yolks with the mashed potatoes, leeks, and quark. Season with salt, pepper, and nutmeg.

Whisk the egg whites until stiff and fold them into the potato-leek mixture. Pour the mixture into a greased baking dish and sprinkle the grated cheese on top.

Bake in the oven for about 30 minutes, until the leeks are cooked and the cheese has a golden brown color.",False,True,True,True
Kale soup with trout fillets (for 4 servings),"['1 kg kale', '4 potatoes', '1 onion', '1 garlic clove', '50 g butter', '1 liter broth', '1 cup crème fraîche', 'Salt, pepper, nutmeg, mustard', '2 tbsp oatmeal', '4 smoked trout fillets']","Remove kale from the thick stalks, wash and cut into strips. Boil in salted water for about 2 minutes, then immediately rinse with cold water. Let drain thoroughly. Peel and dice potatoes evenly into small cubes. Peel and roughly chop onions, peel and crush garlic. Heat butter and sauté onions, garlic, and potatoes. Add kale strips and pour in the broth. Let simmer over low heat until potatoes and kale are tender. Purée soup, fold in creme fraîche and season with salt, pepper, nutmeg, and mustard. Toast oats in a pan without fat, shred trout fillets and let them warm in the soup. Serve soup in bowls and sprinkle with toasted oats.",False,True,True,True
Chicory Sprouts (for 4 servings),"['3\xa0Chicory', '2\xa0Carrots', '1 handful\xa0Rocket', '2 tbsp\xa0Icing sugar', '2 tbsp\xa0Butter', '1 tbsp\xa0Orange juice', '100 g\xa0semi-mature Gouda', 'Salt, pepper', '8 slices\xa0Dark bread']","['Cut chicory in half, remove the core, and slice the rest into fine strips.', 'Peel carrots and slice into very thin strips using a vegetable peeler. Then quarter them.', 'Wash arugula, pick over, drain, and roughly chop.', 'Melt powdered sugar in a pan to make caramel. Add butter and orange juice, then cook chicory in it.', 'Add carrot strips and arugula to the pan, heat through, and season with salt and pepper.', 'Shave Gouda into thin slices.', 'Spread cheese on the bread slices, top with chicory mixture, and serve hot.']",False,True,True,False
Rice pudding with chocolate chips (for 4 servings),"['1 L milk', '3 tbsp powdered sugar', '400 g rice pudding rice', '100 g dark chocolate', '80 g almonds', '80 g pistachios', '2 mangoes', 'juice of 1 lime', '200 ml cream', '1 tsp vanilla sugar', '1 packet whipping cream stabilizer']","['Bring milk and sugar to a boil. Sprinkle in rice and let it swell for about 30 minutes, stirring occasionally. Let cool and then refrigerate for about 45 minutes.', 'Grate chocolate coarsely. Roast almonds in a pan without fat until golden brown and then roughly chop. Chop pistachios roughly.', 'Peel mango and dice into small cubes. Puree 2/3 of the mango cubes with lime juice to create a creamy sauce. Add the remaining mango cubes and the chopped pistachios to the sauce.', 'Whip cream with vanilla sugar and stabilizer until stiff. Gently fold whipped cream and 2/3 of the almond and chocolate pieces into the rice.', 'Serve the rice pudding with the mango sauce on plates. Decorate with the remaining chocolate and almond pieces.']",False,True,True,False
Red cabbage salad (for 4 servings),"['400 g red cabbage', '4 tbsp oil', '3 tbsp lemon juice', '1 tbsp honey', 'Salt, pepper', '3 oranges', '2 red apples', '5 walnuts', '100 g feta cheese']","['Wash red cabbage, finely shred (or cut) leaves.', 'Mix oil, lemon juice, and honey, season with salt and pepper. Mix with red cabbage and let marinate.', 'Peel and segment oranges. Halve the segments. Wash apples and cut into very fine sticks. Gently fold both into the red cabbage mixture.', 'Crack walnuts and roughly chop. Crumble feta. Sprinkle both over the salad and serve.']",False,True,True,False
Avocado Cocktail (for 4 servings),"['2 ripe avocados', '300 ml tomato juice', '1 small bunch of dill', '½ tsp ground coriander', '250 ml buttermilk', 'Salt, pepper, Tabasco sauce', '4 stalks of celery']","['Halve avocado, remove pit, scoop out flesh and roughly dice.', 'Puree together with tomato juice.', 'Wash and finely chop dill. Add to avocado puree along with coriander and top up with buttermilk.', 'Season with salt, pepper, and Tabasco sauce to taste.', 'Wash celery, trim 2 cm off the bottom, peel off strings.', 'Fill cocktail into glasses, place a celery stick in each glass and sprinkle some pepper on the surface of the drink.']",False,True,True,True
Fruity potato pan (for 4 servings),"['12 waxy potatoes', '4 tbsp oil', '2 red apples', '2 onions', '½ pack mixed herbs (frozen)', '1 tbsp horseradish', 'Salt, pepper', '200 g lamb's lettuce', '3 carrots', '50 g natural yoghurt', 'Juice of ½ lemon', '1 tbsp honey']","['Peel potatoes and cut them into evenly small cubes.', 'Heat oil in a pan, fry potato cubes in it for about 10 minutes over medium heat.', 'Wash apples, remove the core and cut into sticks. Peel onions and finely chop. Add both to the potatoes and fry until the onions and potatoes are cooked through.', 'Add herbs and horseradish to the potato pan and mix gently. Season with salt and pepper.', 'Wash lamb's lettuce, remove any wilted leaves and let it drain well.', 'Peel and grate carrots, and add them to the lamb's lettuce.', 'Mix yogurt, lemon juice, and honey and add to the salad.', 'Serve the potato pan on plates and with the salad.']",False,True,False,False
Colorful Sprout Vegetable Stir-fry (for 4 servings),"['300 g tofu', '1 red chili pepper', '2 tbsp vegetable oil', '4 tbsp soy sauce', 'Juice of 1 lime', 'Salt, pepper', '2 cups rice', '1 leek', '10 brown mushrooms', '1 each yellow, red, and green bell pepper', '2 tbsp cashew nuts', '4 tbsp oil', '1 pack pre-sprouted sprouts', '120 ml vegetable broth', '2 tbsp soy sauce', 'Lemon juice, sugar, ground ginger']","['Drain the tofu and cut it into slices.', 'Half the chili pepper, remove the seeds, wash it, and cut it into thin strips.', 'Mix the oil, soy sauce, and lime juice together. Season with salt and pepper.', 'Add the chili strips to the sauce and spread everything over the tofu slices. Let it sit for at least 30 minutes.', 'Start cooking the rice with 6 cups of water and let it simmer slowly over medium heat.', 'Remove the root from the leeks, halve them, and rinse them well. Cut into thin strips. Wipe the mushrooms with a cloth and slice them.', 'Halve the bell pepper, remove the seeds, wash it, and dice it finely.', 'Cut the tofu into cubes, heat its marinade and 2 tablespoons of oil in a pan or wok, and fry the tofu vigorously. Lift the tofu out of the pan and keep it warm.', 'Fry the bell pepper, leeks, mushrooms, and cashews vigorously.', 'Add bean sprouts and deglaze with vegetable broth and soy sauce.', 'Season with lemon juice, sugar, and ginger.', 'Add the tofu, gently mix, and serve with the rice.']",True,True,True,False
Onion vegetables with mushroom dumplings (for 4 portions),"['1 kg floury potatoes', 'Nutmeg', '100 g cornstarch', '2 egg yolks', '1 onion', '1 garlic clove', '150 g mushrooms', '6 tbsp butter', '500 g red onions', '3 tbsp oil', '3 sprigs of thyme', '½ tsp sugar', 'Salt, pepper', '1 tbsp balsamic vinegar', '100 ml vegetable broth']","['Peel, cook, drain, and then mash the potatoes.', 'Season the mashed potatoes with nutmeg and knead together with cornstarch and egg yolks to form a dough.', 'Peel and finely chop the onion and garlic. Clean and chop the mushrooms into small pieces.', 'Melt 2 tbsp of butter, sweat the onions and garlic in it. Add the mushroom pieces and slowly braise over medium heat.', 'Shape the dough into dumplings and enclose a bit of the mushroom mixture in the center of each.', 'Let the dumplings simmer in boiling salted water for about 20 minutes.', 'Peel red onions, halve them, and slice them finely.', 'Heat oil in a pan, add thyme leaves, and season with sugar, salt, and pepper. Add the onions and sauté for a few minutes. Deglaze with vinegar and let it simmer slowly.', 'Pour in broth, simmer covered for about 10 minutes, then allow the liquid to reduce with the lid off.', 'Arrange the onion mixture on plates and serve with the dumplings.']",False,True,True,True
Mushroom pan with potato pancakes (for 4 servings),"['8 waxy potatoes', '2 onions', '1 tbsp flour', '2 eggs', 'Oil', '500 g mushrooms', '1 onion', '2 tbsp butter', '150 ml white wine', '100 ml milk', '100 ml cream', '1 tbsp lemon juice', 'Salt, pepper']","Peel potatoes. Grate 4 potatoes roughly and 4 finely into a bowl. Peel and finely chop onions. Mix with the potatoes. Mix flour and eggs into the potato mixture. Season generously with salt. Heat plenty of oil in a pan and fry three patties on each side until golden brown over moderate heat. Clean and slice mushrooms. Peel and finely chop onions. Melt butter in a pan, sauté onions and add mushrooms. Sauté for a few minutes. Deglaze with white wine and let it simmer slowly while stirring. Add milk and cream and simmer until it reaches a creamy consistency. Serve mushrooms with the potato pancakes.",False,True,True,False
Grilled trout with herb quark (4 servings),"['4 trout', '2 organic lemons', 'oil', '1 tomato', '6 black olives', '2 sprigs each of dill, parsley, basil', '4 stalks of chives', '100 g quark', '100 g sour cream', '1 tbsp capers', '½ tsp green peppercorns', 'salt, pepper']","['Wash and pat dry the trout inside and out.', 'Quarter the lemons and slice them. Fill the trouts with the lemon slices. Brush with oil on both sides and grill until crispy over moderate heat.', 'Quarter the tomato, remove the seeds, and cut the tomato quarters into small pieces. Pit the olives and finely chop.', 'Finely chop the tender stems and leaves of the herbs.', 'Mix quark and sour cream. Add the tomato, olives, capers, and green peppercorns to the quark. Add the herbs and let it sit covered until the trouts are done. Serve together.']",False,True,True,False
Oriental bean salad with couscous (4 servings),"['200 ml vegetable broth', '200 g instant couscous', '400 g green beans', '2 red bell peppers', '6 tbsp olive oil', 'Salt, pepper', '100 g white beans (canned)', '1 bunch flat-leaf parsley', '1 stem mint', '1 orange', '2 tbsp vinegar', '¼ tsp honey', '1 tsp ground cumin']","['Bring vegetable broth to a boil, remove from heat. Add couscous and 1 tablespoon of olive oil, then vigorously stir with a whisk. Cover and let sit on the still warm stovetop for 10 minutes to swell, fluffing with a fork occasionally. Set aside and let cool.', 'Wash and trim ends of beans. Cut beans into bite-sized pieces and cook until firm but tender, about 10 minutes. Drain, rinse with cold water, and let drain.', 'Halve, deseed, and wash the bell pepper. Cut into thin strips, about the same length as the beans.', 'Heat about 2 tablespoons of oil in a pan, lightly sauté bell pepper and green beans. Season with salt and pepper.', 'Drain white beans.', 'Wash and pat dry parsley and mint, finely chop the leaves.', 'Juice the orange. Mix orange juice with 3 tablespoons of oil, vinegar, and honey until smooth. Add cumin, and season with salt and pepper.', 'Combine sautéed vegetables, white beans, couscous, parsley, mint, and the sauce, let sit for about half an hour.']",False,False,True,False
